"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MAS1",1.09899041510206e-27,-0.285993762360148,0.011,0.15,4.47783644633333e-23
"HYDIN",1.122030675317e-27,0.289815207863767,0.707,0.499,4.57171398657911e-23
"C1QL3",1.1696874195415e-27,-0.295621874992844,0.01,0.147,4.76589139092184e-23
"ZPBP",1.19065318093355e-27,-0.300770466464885,0.043,0.199,4.85131638571376e-23
"DLGAP1",1.19342202168807e-27,-0.885096125761553,1,0.968,4.86259802736805e-23
"KLHL7",1.37582296002463e-27,0.383822585094905,0.839,0.719,5.60579065062034e-23
"ST8SIA1",1.43764478344069e-27,-0.658272321588843,0.42,0.608,5.85768367012911e-23
"TBC1D9",1.63697889227691e-27,0.312363586015832,0.818,0.654,6.66987049658226e-23
"SYT14",1.6683082219235e-27,-0.578583169833825,0.9,0.912,6.79752185022728e-23
"LINC02653",1.77362880042497e-27,-0.657380551087328,0.027,0.174,7.22665054733153e-23
"ADAM11",1.79084295507035e-27,-0.52429907021725,0.324,0.487,7.29678962043413e-23
"LYPD6",1.90103921990935e-27,-0.488820746086639,0.01,0.146,7.74578430152063e-23
"LARGE-AS1",1.92027895840698e-27,-0.321018164272004,0.063,0.224,7.82417661602922e-23
"ATP5MD",2.05637458045301e-27,-0.439969895260019,0.463,0.622,8.37869822805579e-23
"TET3",2.15724329932533e-27,0.4680637507275,0.822,0.684,8.78968782310104e-23
"HTRA1",2.22829084446918e-27,-0.415822999235031,0.067,0.228,9.07917104578967e-23
"SGMS1",2.25709530692746e-27,0.396365708391268,0.871,0.818,9.19653482807594e-23
"LINC02613",2.27321937711391e-27,-0.449681329988164,0.038,0.188,9.26223235205062e-23
"CSAD",2.63158896453374e-27,-0.532242385888941,0.6,0.706,1.07224092359927e-22
"SBK1",2.64732730794766e-27,-0.39716664300098,0.125,0.3,1.07865351162327e-22
"ZNF710",2.7804642002295e-27,0.301490031835924,0.446,0.272,1.13290013838351e-22
"FBXO30-DT",2.85805631734134e-27,0.48453195161655,0.632,0.498,1.16451504650073e-22
"HSPA12A",3.05335250730582e-27,0.400230018161433,0.902,0.875,1.24408847910176e-22
"GTDC1",3.41365643299113e-27,-0.742555457509547,0.775,0.861,1.39089431362224e-22
"C4orf50",3.53379345646873e-27,0.31980024356367,0.724,0.558,1.43984414383818e-22
"CREBBP",3.57744536860781e-27,0.291391638186594,0.9,0.816,1.45763011543925e-22
"ANKRD6",3.63661337823689e-27,0.478954539102942,0.76,0.681,1.48173812096262e-22
"RPS26",4.18856665521267e-27,-0.357857270232274,0.163,0.341,1.7066314836664e-22
"ZDHHC20",4.4156074029842e-27,0.327561032045748,0.884,0.769,1.79913923634591e-22
"LINC00535",4.57645314068562e-27,0.734768812244051,0.597,0.462,1.86467583217236e-22
"GABPB2",4.93443493244964e-27,0.366142064875277,0.608,0.441,2.0105355132266e-22
"ANKRD18DP",5.05254268123984e-27,-0.434441761751483,0.067,0.232,2.05865851547117e-22
"SPEF1",5.1366842593487e-27,-0.317204744611539,0.095,0.264,2.09294200147163e-22
"CRLF1",5.35141991554245e-27,-0.40972345197789,0.204,0.382,2.18043604458777e-22
"SGK3",5.54335319846446e-27,0.588322387554003,0.677,0.557,2.25863926071434e-22
"PNMA3",5.86259286024198e-27,-0.418263025412213,0.457,0.628,2.3887134609056e-22
"PGP",6.1942911866109e-27,-0.422490117625367,0.578,0.702,2.52386394398461e-22
"SEZ6",6.5181781851171e-27,0.29745145531239,0.72,0.525,2.65583170152596e-22
"SERPINB6",6.87376750674846e-27,0.274628622456672,0.436,0.257,2.80071657062466e-22
"S100PBP",6.93570323093998e-27,0.320758214458359,0.71,0.532,2.8259522814465e-22
"ANKRD36B",7.27167494353933e-27,0.305450777334185,0.802,0.663,2.9628439557451e-22
"RPLP1",7.84791117277664e-27,-0.596994024467689,0.58,0.684,3.19763140734784e-22
"MEGF11",8.29568910671963e-27,-0.69344646989603,0.163,0.34,3.38007852653291e-22
"NCAM2",9.30186154049417e-27,-1.29598957134347,0.849,0.887,3.79004348467435e-22
"LINC01118",9.79428586876975e-27,0.320554978740646,0.478,0.297,3.99068177723023e-22
"LINC01358",9.94518758178655e-27,-0.428073635089883,0.041,0.193,4.05216668019893e-22
"ELF2",1.03742878194141e-26,0.349736406898167,0.827,0.713,4.22700357202028e-22
"INHBA",1.05792646503056e-26,0.278942183195634,0.125,0.04,4.31052138176701e-22
"SEPTIN7",1.05921990448504e-26,-0.495516530683115,0.91,0.934,4.3157915008243e-22
