"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM153CP",0,0.28730139257997,0.779,0.467,0
"FAM155A",0,0.533642351155139,1,0.979,0
"FAM168A",0,0.47399317655556,0.946,0.721,0
"FAM169A",0,0.281005643754604,0.834,0.587,0
"FAM171A1",0,0.655298757817412,0.927,0.681,0
"FAM171B",0,0.334850419177777,0.904,0.682,0
"FAM172A",0,0.64690679615104,0.969,0.762,0
"FAM189A1",0,0.746875418905357,0.903,0.572,0
"FAM193A",0,0.462269481774992,0.824,0.594,0
"FAM193B",0,0.34523831299455,0.681,0.481,0
"FAM204A",0,0.283231332756682,0.714,0.48,0
"FAM214A",0,0.364968878197635,0.776,0.468,0
"FAM219A",0,0.355649059024209,0.717,0.489,0
"FAM222B",0,0.61451866218284,0.877,0.532,0
"FAM228B",0,0.397269338011287,0.699,0.483,0
"FAM241A",0,0.570092736598485,0.479,0.222,0
"FAM66C",0,0.339714765381051,0.804,0.535,0
"FAM78B",0,0.319376613971747,0.71,0.505,0
"FAM9B",0,0.390773483796717,0.133,0.023,0
"FAR1",0,0.462072072388461,0.917,0.659,0
"FARP1",0,0.434929182673734,0.897,0.686,0
"FARP2",0,0.513049891657892,0.666,0.424,0
"FARS2",0,0.655792838073615,0.956,0.693,0
"FAT1",0,0.383127446641802,0.204,0.075,0
"FAT3",0,0.855979820767785,0.933,0.722,0
"FAT4",0,0.642343635056138,0.653,0.422,0
"FAXC",0,0.255328115969339,0.745,0.52,0
"FBH1",0,0.308024301566406,0.495,0.299,0
"FBXL17",0,0.461246226169409,0.986,0.807,0
"FBXL2",0,0.398164639313366,0.905,0.667,0
"FBXL20",0,0.4681367834063,0.914,0.666,0
"FBXL4",0,0.250124222376297,0.669,0.452,0
"FBXO11",0,0.498891686745524,0.942,0.71,0
"FBXO22",0,0.322286891204798,0.752,0.527,0
"FBXO28",0,0.334261574185726,0.74,0.504,0
"FBXO30-DT",0,0.29333025043012,0.5,0.301,0
"FBXO42",0,0.425577721058986,0.817,0.572,0
"FBXO9",0,0.256262293762931,0.703,0.482,0
"FBXW11",0,0.383680861397279,0.882,0.62,0
"FBXW4",0,0.442283413506386,0.797,0.524,0
"FBXW7",0,0.389317701445291,0.98,0.831,0
"FCHSD2",0,0.828129482868541,0.741,0.493,0
"FDFT1",0,0.397437910895431,0.598,0.359,0
"FER",0,0.621869720210833,0.964,0.754,0
"FEZ2",0,0.307331026540296,0.86,0.614,0
"FEZF2",0,0.359240036197097,0.218,0.037,0
"FGD1",0,0.346581768111542,0.523,0.331,0
"FGD4",0,0.563559108808449,0.703,0.48,0
"FGF12",0,0.434261942375064,0.998,0.894,0
"FGF13",0,0.733232027933118,0.729,0.55,0
"FGF14",0,0.539579686404716,0.998,0.944,0
"FGFR1OP2",0,0.373084054307987,0.753,0.484,0
"FGGY",0,0.426025761961066,0.633,0.402,0
"FHIT",0,0.45495798214873,0.899,0.705,0
"FHOD3",0,0.428264309081637,0.915,0.728,0
"FIGN",0,1.41305854831883,0.796,0.394,0
"FKTN",0,0.312028921952206,0.722,0.485,0
"FLACC1",0,0.54617277543653,0.564,0.301,0
"FLG-AS1",0,0.45484827086103,0.629,0.357,0
"FLNA",0,0.354027614226084,0.459,0.237,0
"FLNB",0,0.509646104151516,0.831,0.587,0
"FLVCR1",0,0.413941187996054,0.606,0.367,0
"FLYWCH1",0,0.338051539219857,0.61,0.393,0
"FMN1",0,0.449426588642953,0.725,0.501,0
"FMN2",0,0.561856169871246,0.985,0.819,0
"FMNL2",0,0.408208347640015,0.975,0.783,0
"FNBP1L",0,0.703959375340099,0.771,0.47,0
"FNBP4",0,0.389218092470137,0.857,0.536,0
"FNDC3A",0,0.695388731277742,0.942,0.685,0
"FNDC3B",0,0.44732378430102,0.641,0.426,0
"FNIP1",0,0.561953690486932,0.917,0.5,0
"FNTB",0,0.325382199226106,0.519,0.297,0
"FOCAD",0,0.574769889558709,0.983,0.762,0
"FOXJ3",0,0.391319490552658,0.893,0.651,0
"FOXK2",0,0.335255427075884,0.788,0.571,0
"FOXN3",0,0.457255716260516,0.804,0.583,0
"FOXO1",0,0.485010365697815,0.489,0.274,0
"FOXP1",0,0.344399038057327,0.859,0.704,0
"FRAS1",0,0.477483152084916,0.862,0.692,0
"FRG1-DT",0,0.496232777721361,0.559,0.329,0
"FRG1CP",0,0.269452366736126,0.485,0.286,0
"FRG1HP",0,0.469484898978854,0.862,0.514,0
"FRMD3",0,0.636401334031613,0.757,0.476,0
"FRMD4A",0,0.461884111450401,0.999,0.964,0
"FRMPD4",0,0.617443012189845,0.978,0.849,0
"FRRS1L",0,0.470761699896232,0.944,0.745,0
"FRS2",0,0.416410028918008,0.818,0.548,0
"FRY",0,0.609901288527635,0.969,0.797,0
"FRYL",0,0.426642038579925,0.836,0.592,0
"FSD1L",0,0.275968293539353,0.813,0.575,0
"FSIP1",0,0.256333144019553,0.678,0.452,0
"FSIP2-AS1",0,0.549383995908931,0.57,0.3,0
"FSTL4",0,0.551047299537172,0.841,0.632,0
"FSTL5",0,0.655345153455859,0.543,0.29,0
"FTCD",0,0.399761691038294,0.484,0.247,0
"FTO",0,0.534531946977416,0.965,0.738,0
"FTX",0,0.618229124702174,0.999,0.933,0
"FUBP1",0,0.284365351786352,0.695,0.474,0
"FUBP3",0,0.29373836115326,0.732,0.495,0
"FUT8",0,0.466302779443306,0.911,0.666,0
"FXR1",0,0.315262813268221,0.836,0.575,0
"FYN",0,0.525026836424415,0.939,0.689,0
"G2E3",0,0.265237980715971,0.66,0.445,0
"G3BP2",0,0.262855356664132,0.786,0.577,0
"GAB2",0,0.499332113471619,0.619,0.413,0
"GABBR1",0,0.339543734784154,0.794,0.501,0
"GABBR2",0,0.454718539467781,0.975,0.815,0
"GABPB1-AS1",0,0.462176001543471,0.821,0.582,0
"GABRA2",0,0.602471761290504,0.957,0.753,0
"GABRB1",0,0.590357246959651,0.98,0.843,0
"GABRB3",0,0.253963550421938,0.994,0.883,0
"GABRG2",0,0.398887861948635,0.922,0.679,0
"GABRG3",0,0.561498702222836,0.793,0.704,0
"GALK2",0,0.372678927675654,0.823,0.569,0
"GALNT1",0,0.40447126193742,0.7,0.486,0
"GALNT11",0,0.349155931815496,0.919,0.65,0
"GALNT13",0,0.969886616285013,0.943,0.659,0
"GALNT16",0,0.510779452308075,0.663,0.451,0
"GALNT17",0,0.806528987528067,0.966,0.589,0
"GALNT18",0,0.517014244142911,0.971,0.787,0
"GALNT2",0,0.509454771734497,0.759,0.537,0
"GALNT7",0,0.296610987731489,0.777,0.528,0
"GALNT9",0,0.466443895937337,0.51,0.328,0
"GALNTL6",0,1.2469697995675,0.939,0.825,0
"GAPVD1",0,0.346225807316686,0.797,0.562,0
"GARNL3",0,0.721739596356326,0.868,0.56,0
"GARS1",0,0.261438644554158,0.624,0.382,0
