"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B4GALT6",0,0.289881130759771,0.709,0.542,0
"B9D1",0,0.324889419809872,0.539,0.368,0
"BABAM2",0,0.588834226210862,0.952,0.864,0
"BAIAP2",0,0.964738799526277,0.804,0.505,0
"BAIAP3",0,0.425823860597962,0.77,0.526,0
"BANP",0,0.437036235275552,0.555,0.381,0
"BASP1",0,0.640561575839648,0.957,0.762,0
"BASP1-AS1",0,1.02765738159598,0.877,0.483,0
"BBOX1-AS1",0,0.390740033025582,0.306,0.135,0
"BBS1",0,0.319674243767518,0.511,0.334,0
"BBS5",0,0.352703537561762,0.571,0.383,0
"BCAP29",0,0.407048159918423,0.756,0.567,0
"BCAR1",0,0.27991213316986,0.447,0.298,0
"BCAS3",0,0.430720324796982,0.963,0.912,0
"BCKDHB",0,0.312674309378353,0.833,0.719,0
"BCL11B",0,0.528913328752766,0.853,0.65,0
"BCL2",0,0.641322240690799,0.771,0.535,0
"BCL2L13",0,0.376860380643078,0.688,0.53,0
"BCO1",0,0.402529699344196,0.391,0.197,0
"BCR",0,0.512895571213045,0.637,0.463,0
"BDNF",0,0.931291579367402,0.415,0.086,0
"BDP1",0,0.609755161432355,0.929,0.805,0
"BEGAIN",0,0.526636040589282,0.507,0.298,0
"BEND6",0,0.373147710273853,0.77,0.593,0
"BHLHE22",0,0.305008845009119,0.206,0.02,0
"BHLHE40",0,0.298443465039726,0.33,0.144,0
"BHLHE40-AS1",0,0.301954262019116,0.266,0.122,0
"BICC1",0,0.544529632226148,0.694,0.43,0
"BICD1",0,0.449885567157871,0.95,0.858,0
"BICD2",0,0.366253010838772,0.46,0.277,0
"BICDL1",0,0.834627406597288,0.915,0.673,0
"BIN1",0,0.612199819026075,0.794,0.597,0
"BIN3",0,0.456708092135082,0.52,0.288,0
"BIRC6",0,0.45339116817793,0.964,0.936,0
"BIVM",0,0.473472462744613,0.764,0.565,0
"BLOC1S6",0,0.258943421460815,0.522,0.364,0
"BMERB1",0,0.994266743703776,0.871,0.596,0
"BMPR1B",0,0.818451165839639,0.347,0.094,0
"BMPR2",0,0.628995749062604,0.967,0.883,0
"BMS1P1",0,0.413334705235598,0.568,0.35,0
"BMT2",0,0.479891617021325,0.822,0.65,0
"BNIP3L",0,0.788464753376861,0.816,0.615,0
"BRAF",0,0.419687908319247,0.961,0.914,0
"BRD1",0,0.346778254498342,0.63,0.471,0
"BRD4",0,0.467870581099797,0.791,0.643,0
"BRINP1",0,1.19851707713271,0.949,0.703,0
"BRINP2",0,1.2332735617188,0.891,0.578,0
"BRINP3",0,0.412944430862604,0.886,0.625,0
"BRSK1",0,0.469314038197344,0.651,0.456,0
"BRSK2",0,0.495073564635589,0.706,0.487,0
"BRWD1",0,0.415761805493668,0.964,0.905,0
"BSDC1",0,0.32261289534126,0.598,0.459,0
"BSN",0,0.916074014315108,0.834,0.561,0
"BTAF1",0,0.377778324543914,0.824,0.687,0
"BTBD10",0,0.476512028839653,0.869,0.714,0
"BTBD11",0,-0.987956209155681,0.109,0.341,0
"BTBD3",0,0.339249449086143,0.693,0.511,0
"BTBD7",0,0.38337547203374,0.81,0.692,0
"BTBD9",0,0.762137794600387,0.989,0.916,0
"BTNL9",0,0.41802751118289,0.15,0.032,0
"BTRC",0,0.495199938930147,0.934,0.856,0
"BZW2",0,0.272560485339912,0.551,0.393,0
"C10orf67",0,0.349719014795512,0.353,0.174,0
